State,City,TotalPopulation,PercentMale,PercentFemale,MedianAge,PercentOver65,PercentWhite,PercentBlack,PercentHispanic,PercentAsian,MedianHouseholdIncome,MeanHouseholdIncome,MedianIncomeFemale,MedianIncomeMale,AverageHouseholdSize, AverageFamilySize ,EdElementaryPercent,EdHighSchoolPercent,EdAssociatePercent,EdBachelorsPercent,EdGraduatePercent,AvgLowTemp,AvgHighTemp,ElectionResults
AL,Alabaster,30013,48.5,51.5,36.1,10.9,75.2,15.7,7.7,0.9,72902,79056,41403,54789,2.81,3.19,2.5,24.2,8.6,23.4,9.7,53.5,76.5,red
AL,Albertville,20804,50.8,49.2,32.6,15.4,72.6,2.6,24.1,0.2,38438,49874,27910,30255,2.79,3.26,14.2,30.5,6.7,9.2,5.6,53.5,76.5,red
AL,AlexanderCity,14895,46.7,53.3,38.3,19.8,63.9,31.3,4.7,0,34453,50082,30242,33226,2.47,2.93,8.9,30.5,7.8,12.4,6.7,53.5,76.5,red
AL,Anniston,23189,46,54,41.1,20,44,53.1,2.3,0.9,32943,48591,30417,41103,2.28,3.07,5.9,31.1,4.9,11.8,8.8,53.5,76.5,red
AL,Athens,21561,44.5,55.5,37.1,18.9,70.8,20.9,7.5,0.2,45827,63932,33416,45800,2.36,3.02,6.4,30.4,7,16.4,10.4,53.5,76.5,red
AL,Atmore,10060,62,38,37.8,15.1,42.7,51.8,4,0.4,34634,48695,26156,50656,2.48,2.98,11.4,31.2,5.9,7.4,3.4,53.5,76.5,red
AL,Auburn,52232,49.3,50.7,23,7.9,73.2,18.3,2.4,5.5,37460,56753,38727,51262,2.24,2.97,2.1,15.3,5.4,31.8,28.3,53.5,76.5,red
AL,Bessemer,27672,43.6,56.4,40.1,19.8,24,73.8,2.1,0.4,29600,40295,26980,37488,2.42,3.14,6.3,35.3,6.9,8.3,4.1,53.5,76.5,red
AL,Birmingham,214348,46.4,53.6,36,15.5,21.7,74.2,2.8,0.9,31898,45423,30367,36031,2.3,3.13,4.9,29.3,7.5,13.1,8.2,53.5,76.5,red
AL,Calera,10904,50.4,49.6,31.3,11.1,65,26.4,6.8,1.1,61774,63541,38010,48493,2.61,3.05,2.9,25.1,5.5,21.3,8.9,53.5,76.5,red
AL,CenterPoint,16843,45.8,54.2,33.5,13.9,30.9,63.8,4.3,0,43459,51890,31661,37607,2.71,3.22,2.7,36.8,9.8,11.1,5.2,53.5,76.5,red
AL,Cullman,14744,48.5,51.5,39.5,22.9,87.5,1.9,8.8,0.8,35299,54383,36054,38077,2.26,2.92,7.1,27.2,8.3,14,9.4,53.5,76.5,red
AL,Daphne,21268,48.9,51.1,38.4,16,86.2,10.2,2.3,1,62376,80915,37335,55368,2.49,3.1,2.2,21.2,8.4,27.4,12.2,53.5,76.5,red
AL,Decatur,55449,48.7,51.3,37.8,17.4,63.1,23.1,11.8,1,43049,57916,27295,41405,2.44,3.05,8,29.5,6.4,14.5,7,53.5,76.5,red
AL,Dothan,64904,47.6,52.4,38,17.5,62.8,32.6,2.7,1.2,42836,61398,30411,44989,2.53,3.12,4.8,30.3,8.7,14.5,8.6,53.5,76.5,red
AL,Enterprise,25820,48.2,51.8,35.4,15.7,67.2,21.4,7.8,1.8,48103,63900,33806,47988,2.63,3.18,6.8,24.2,10.7,17.4,9.7,53.5,76.5,red
AL,Eufaula,13170,47.4,52.6,38.6,19.2,52,43.3,3.9,1.1,36811,45835,24909,36453,2.53,3.16,7.2,32,7.7,10.4,9.3,53.5,76.5,red
AL,Fairfield,11224,44.6,55.4,33.6,16.5,9.1,89.3,0.6,0.1,34447,46183,30328,35651,2.45,3.42,2.8,28.9,12.6,11.6,8.5,53.5,76.5,red
AL,Fairhope,15180,44.5,55.5,46.2,27.5,91.5,5.6,0.5,1.6,57301,78686,39105,62024,2.23,2.83,1.5,21.1,8.9,29.4,15.5,53.5,76.5,red
AL,Florence,39085,45.8,54.2,37.9,20.4,76.1,19.6,2.1,1.5,32122,47661,27021,40565,2.14,2.87,5.6,28.8,5.4,15.9,9.8,53.5,76.5,red
AL,Foley,14099,44.7,55.3,40.7,25.1,65.7,24.3,8,1.1,42188,54836,30598,41352,2.4,2.93,6.2,33.8,6.5,15.7,5.7,53.5,76.5,red
AL,FortPayne,13997,48.7,51.3,35.5,17.2,70.6,5.1,23.1,0.9,38130,53637,25429,31024,2.6,3.09,15.6,27.9,6.5,10,5.3,53.5,76.5,red
AL,Gadsden,37014,46.3,53.7,38.2,20.3,56.2,37.4,5,0.7,28419,43265,27524,35257,2.3,2.98,8.6,31.4,6,9.2,6.4,53.5,76.5,red
AL,Gardendale,13624,46.5,53.5,42.3,19.8,86.6,11.9,1.1,0.4,58656,74141,40871,51616,2.45,2.97,2.8,33.1,7.6,16.3,7.7,53.5,76.5,red
AL,Hartselle,14042,47.8,52.2,35.9,15.6,94.3,4.4,0.6,0,51103,59974,30838,49000,2.63,3.06,2.8,34.1,7,16.3,6.7,53.5,76.5,red
AL,Helena,16018,49.4,50.6,33.7,10.8,81.1,10.7,5.8,1.4,81140,86885,45262,60970,2.82,3.24,2.3,16.6,7,34.9,11.4,53.5,76.5,red
AL,Homewood,25110,48.1,51.9,28.6,9.6,73.1,15.1,9,2.6,61436,78712,41603,51526,2.46,3.13,2.9,14.7,3.6,32.8,26.5,53.5,76.5,red
AL,Hoover,79940,48.2,51.8,37,13.8,71.5,13.6,8.2,5.6,75831,99965,45146,65389,2.58,3.11,2.6,14,5.9,35,20.3,53.5,76.5,red
AL,Huey,16068,49.3,50.7,41.2,20.4,73.8,25.4,0.5,0.1,49179,56161,34375,44954,2.42,3,4.8,36.3,9.2,8.4,5,53.5,76.5,red
AL,Huntsville,177879,48.4,51.6,36.8,17,59.1,31.8,5.5,2.3,48043,68886,35209,47169,2.32,3,3.7,21.4,6.7,23.8,14.1,53.5,76.5,red
AL,Irondale,12248,49.4,50.6,38.8,16.9,51.1,36.5,10,2,48727,62558,40089,34375,2.38,3.08,3.6,27.3,5.8,17.2,9.4,53.5,76.5,red
AL,Jacksonville,12090,45.6,54.4,23.9,13.3,68.4,25.4,3.4,1.7,35589,49092,26630,38125,2.33,3.07,7.2,29.4,4.5,14.9,13.7,53.5,76.5,red
AL,Jasper,14337,46.3,53.7,39.4,22.3,78.3,14.3,5.4,0.7,41883,65179,36000,53400,2.46,3.03,5,31,8.6,13.1,8.4,53.5,76.5,red
AL,Leeds,11940,47,53,38.5,17.8,78.9,14.9,3.9,1,44149,55109,36760,41509,2.48,3.06,6,32.5,7.2,14.6,8.2,53.5,76.5,red
AL,Madison,41573,49.9,50.1,36.7,10.1,74.1,15.3,3.1,6.1,89770,107330,48568,88562,2.71,3.26,1.2,14.1,6.9,34.4,22.4,53.5,76.5,red
AL,Millbrook,14454,44.1,55.9,35.8,12,77,19.2,3,0.7,61161,70855,32623,52020,2.7,3.15,2.2,33.1,8.7,16.6,8.7,53.5,76.5,red
AL,Mobile,195457,46.6,53.4,35.5,16.3,44.6,50.8,2.3,1.6,38240,57217,29992,41918,2.45,3.16,4,29.7,7.3,16.9,9,53.5,76.5,red
AL,Montgomery,205548,47.2,52.8,33.7,14.1,36.9,57,3.6,2.1,43674,61345,33484,41091,2.49,3.18,4.7,26.7,5.5,19,12.3,53.5,76.5,red
AL,Moody,11456,49.8,50.2,37.6,15.8,87.5,8.8,3,0,55598,64350,36302,42175,2.62,3.07,5.1,32.4,8.4,10.3,5,53.5,76.5,red
AL,MountainBrook,20401,46.6,53.4,40.6,17.2,96.4,0.1,1,2.2,136447,207562,59401,124286,2.71,3.16,0.1,4.1,1.3,44.5,38.3,53.5,76.5,red
AL,MuscleShoals,13068,47.3,52.7,41.5,20.5,78.7,16.7,2.7,1,51114,61125,40995,46445,2.39,2.95,4.2,33.3,7.7,15.4,8.7,53.5,76.5,red
AL,Northport,22920,48.1,51.9,33.8,14.8,70,26.2,2.8,0.4,51730,59863,36768,51181,2.57,3.26,4.9,28.3,5.7,17.9,12.5,53.5,76.5,red
AL,Opelika,26253,48.1,51.9,37,15.3,49.6,42.6,5.9,1.3,39048,55211,29884,36358,2.32,2.93,5.5,29.9,5.6,14.9,9.7,53.5,76.5,red
AL,Oxford,21106,46.8,53.2,36.3,14,80.3,11.7,6.1,0.6,48335,60059,30328,43018,2.74,3.17,6.7,35.1,8.1,12.1,4.9,53.5,76.5,red
AL,Ozark,14912,47.9,52.1,40.9,20.9,66.8,29.1,2.7,0.6,41662,52071,29097,40712,2.32,2.89,6,29.5,9.1,11.8,6.5,53.5,76.5,red
AL,Pelham,20878,50.2,49.8,35,12.4,78.1,7,13.3,1.1,69167,82357,43328,57575,2.68,3.24,2.9,23.9,8.2,27.7,9.8,53.5,76.5,red
AL,PellCity,12493,49.2,50.8,37.5,21.2,83.6,11.5,2.7,1.8,45089,64917,30319,46734,2.51,3.02,4.6,31.7,8.7,12.4,5.4,53.5,76.5,red
AL,PhenixCity,32338,46.6,53.4,33.7,15.5,48,47.2,3.9,0.8,34700,48219,28812,40007,2.49,3.19,5.6,31,7.8,11.3,5,53.5,76.5,red
AL,PleasantGrove,10071,46.4,53.6,42.3,17.3,50.5,48.9,0,0,65984,71538,42013,45400,2.68,3,1.3,34.3,11.7,16.8,8,53.5,76.5,red
AL,Prattville,32783,46.8,53.2,35,14.2,77.5,17.2,3.2,1,60617,72338,34436,55693,2.74,3.24,3.2,31,7.9,19,9,53.5,76.5,red
AL,Prichard,23254,49.5,50.5,38.3,16.9,14.5,83.9,0.9,0.4,22415,30258,23117,31183,2.46,3.27,6.5,39.8,7.5,5,2.1,53.5,76.5,red
AL,Saraland,13265,47.9,52.1,39.6,19.3,76.2,14.8,3.3,1.7,48620,59697,32078,48349,2.65,3.15,3.5,43.5,7,8.9,4.1,53.5,76.5,red
AL,Scottsboro,14806,45.7,54.3,43.1,22.9,90.8,4.2,2.6,0.6,36189,51239,27500,36528,2.29,2.89,7.4,27.4,6.6,14,9.5,53.5,76.5,red
AL,Selma,20623,44.8,55.2,35,18.5,19.5,78.6,1.1,0.8,23457,43183,29217,39904,2.49,3.44,7.6,30.3,7.6,10.4,7.8,53.5,76.5,red
AL,Sylacauga,12780,45.4,54.6,40.8,20.5,68.1,28.8,1.5,0.6,31764,45969,30833,42038,2.37,2.9,7.7,36.1,5.7,9.5,5.1,53.5,76.5,red
AL,Talladega,15854,49.2,50.8,35.3,15.3,47.4,49,2.3,1,31437,41786,25806,34806,2.47,3.03,8.7,38,5.1,7.1,5.7,53.5,76.5,red
AL,Troy,17562,45.1,54.9,24.9,11.9,56.9,38.2,2.6,2.8,31122,49021,32079,46445,2.33,2.84,4,26.7,2.4,20.5,14.3,53.5,76.5,red
AL,Trussville,19085,48.2,51.8,41.7,14.6,92.4,5,1.1,0.7,87878,100976,46616,62900,2.82,3.16,0.6,21.9,8.1,26.3,13.1,53.5,76.5,red
AL,Tuscaloosa,89035,47.4,52.6,26.7,12.5,50.2,44,3.3,1.9,34359,54033,30645,35920,2.54,3.31,4.5,26.4,4.7,18.5,14.2,53.5,76.5,red
AL,Tuskegee,10007,45.3,54.7,26.8,13.8,4.5,95,1.6,0,26325,38151,26375,35909,2.21,3.18,5.5,22.3,6.8,16.6,13.7,53.5,76.5,red
